scraping_date,total_headlines_scraped,fox_news_count,nbc_news_count,headlines_added,duplicates_skipped,dataset_size_before,dataset_size_after
2025-12-12,209,178,31,7,202,3993,4000
2025-12-13,72,36,36,21,51,4000,4021
2025-12-14,80,40,40,67,13,4021,4088
2025-12-15,76,38,38,59,17,4088,4147
2025-12-16,78,39,39,73,5,4147,4220
2025-12-17,94,47,47,79,15,4220,4299
2025-12-18,92,46,46,81,11,4299,4380
2025-12-19,78,39,39,68,10,4380,4448
2025-12-20,84,42,42,71,13,4448,4519
2025-12-21,72,36,36,65,7,4519,4584
2025-12-22,70,35,35,61,9,4584,4645
2025-12-23,88,44,44,82,6,4645,4727
2025-12-24,80,40,40,66,14,4727,4793
2025-12-25,76,38,38,64,12,4793,4857
2025-12-26,78,39,39,60,18,4857,4917
2025-12-27,66,33,33,59,7,4917,4976
2025-12-28,78,39,39,66,12,4976,5042
2025-12-29,74,37,37,62,12,5042,5104
2025-12-30,88,44,44,70,18,5104,5174
2025-12-31,86,43,43,77,9,5174,5251
2026-01-01,90,45,45,74,16,5251,5325
2026-01-02,80,40,40,57,23,5325,5382
2026-01-03,80,40,40,70,10,5382,5452
2026-01-04,66,33,33,49,17,5452,5501
2026-01-05,78,39,39,64,14,5501,5565
2026-01-06,104,52,52,86,18,5565,5651
2026-01-07,84,42,42,75,9,5651,5726
2026-01-08,82,41,41,73,9,5726,5799
2026-01-09,92,46,46,84,8,5799,5883
2026-01-10,84,42,42,74,10,5883,5957
2026-01-11,86,43,43,72,14,5957,6029
2026-01-12,72,36,36,58,14,6029,6087
2026-01-13,98,49,49,82,16,6087,6169
2026-01-14,98,49,49,88,10,6169,6257
2026-01-15,86,43,43,78,8,6257,6335
2026-01-16,90,45,45,79,11,6335,6414
2026-01-17,84,42,42,72,12,6414,6486
2026-01-18,70,35,35,62,8,6486,6548
2026-01-19,74,37,37,65,9,6548,6613
2026-01-20,82,41,41,69,13,6613,6682
2026-01-21,88,44,44,76,12,6682,6758
2026-01-22,88,44,44,82,6,6758,6840
2026-01-23,84,42,42,75,9,6840,6915
2026-01-24,82,41,41,71,11,6915,6986
2026-01-25,84,42,42,62,22,6986,7048
2026-01-26,66,33,33,55,11,7048,7103
2026-01-27,78,39,39,73,5,7103,7176
2026-01-28,96,48,48,84,12,7176,7260
2026-01-29,76,38,38,64,12,7260,7324
2026-01-30,88,44,44,75,13,7324,7399
2026-01-31,94,47,47,81,13,7399,7480
2026-02-01,82,41,41,70,12,7480,7550
2026-02-02,84,42,42,74,10,7550,7624
2026-02-03,102,51,51,86,16,7624,7710
2026-02-04,102,51,51,88,14,7710,7798
2026-02-05,80,40,40,73,7,7798,7871
2026-02-06,94,47,47,84,10,7871,7955
2026-02-07,92,46,46,79,13,7955,8034
2026-02-08,80,40,40,67,13,8034,8101
2026-02-09,78,39,39,69,9,8101,8170
2026-02-10,84,42,42,70,14,8170,8240
2026-02-11,92,46,46,80,12,8240,8320
2026-02-12,102,51,51,86,16,8320,8406
2026-02-13,96,48,48,87,9,8406,8493
2026-02-14,92,46,46,82,10,8493,8575
2026-02-15,88,44,44,76,12,8575,8651
2026-02-16,76,38,38,67,9,8651,8718
2026-02-17,86,43,43,75,11,8718,8793
2026-02-18,96,48,48,81,15,8793,8874
2026-02-19,92,46,46,85,7,8874,8959
2026-02-20,102,51,51,93,9,8959,9052
